feature,importance,signed_value
cat__project_FreeRTOS-Kernel,0.0,0.0
cat__cwe_CWE-399,0.0,0.0
cat__cwe_CWE-59,0.0,0.0
cat__project_FFmpeg,0.0,0.0
cat__retrieval_top1_evidence_role_missing,0.0,0.0
cat__cwe_CWE-434,0.0,0.0
cat__cwe_CWE-444,0.0,0.0
num__method_known_pred_count,0.0,0.0
cat__cwe_CWE-522,0.0,0.0
cat__cwe_CWE-552,0.0,0.0
cat__cwe_CWE-287,0.0,0.0
cat__project_spice,0.0,0.0
cat__project_ceph,0.0,0.0
cat__project_libarchive,0.0,0.0
cat__project_heimdal,0.0,0.0
cat__project_hermes,0.0,0.0
cat__project_hexchat,0.0,0.0
cat__project_hhvm,0.0,0.0
cat__project_icecast-server,0.0,0.0
cat__project_ipsec,0.0,0.0
cat__project_jasper,0.0,0.0
cat__project_libMeshb,0.0,0.0
cat__project_libexpat,0.0,0.0
cat__project_evolution-data-server,0.0,0.0
cat__project_libjxl,0.0,0.0
cat__project_liblouis,0.0,0.0
cat__project_drogon,0.0,0.0
cat__project_libssh,0.0,0.0
cat__project_libtiff,0.0,0.0
cat__project_libtpms,0.0,0.0
cat__project_libvncserver,0.0,0.0
cat__project_dpdk,0.0,0.0
cat__project_gzip,0.0,0.0
cat__project_guile,0.0,0.0
cat__project_gst-plugins-good,0.0,0.0
cat__project_grep,0.0,0.0
cat__project_exim,0.0,0.0
cat__project_exiv2,0.0,0.0
cat__project_file,0.0,0.0
cat__project_file-roller,0.0,0.0
cat__project_firejail,0.0,0.0
cat__project_flatpak,0.0,0.0
cat__project_frr,0.0,0.0
cat__project_furnace,0.0,0.0
cat__project_gdk-pixbuf,0.0,0.0
cat__project_gerbv,0.0,0.0
cat__project_elfspirit,0.0,0.0
cat__project_gimp,0.0,0.0
cat__project_glewlwyd,0.0,0.0
cat__project_glib,0.0,0.0
cat__project_gnulib,0.0,0.0
cat__project_gnutls,0.0,0.0
cat__project_e2guardian,0.0,0.0
cat__project_deark,0.0,0.0
cat__project_lsquic,0.0,0.0
cat__project_lua,0.0,0.0
cat__project_pcre2,0.0,0.0
cat__project_crun,0.0,0.0
cat__project_core,0.0,0.0
cat__project_poppler,0.0,0.0
cat__project_postgres,0.0,0.0
cat__project_puma,0.0,0.0
cat__project_pure-ftpd,0.0,0.0
cat__project_qcad,0.0,0.0
cat__project_clamav-devel,0.0,0.0
cat__project_qtbase,0.0,0.0
cat__project_cifs-utils,0.0,0.0
cat__project_raptor,0.0,0.0
cat__project_rizin,0.0,0.0
cat__project_rpm,0.0,0.0
cat__project_rsyslog,0.0,0.0
cat__project_samba,0.0,0.0
cat__project_chafa,0.0,0.0
cat__project_shapelib,0.0,0.0
cat__project_perl5,0.0,0.0
cat__project_owntone-server,0.0,0.0
cat__project_micro-ecc,0.0,0.0
cat__project_ovs,0.0,0.0
cat__project_mongo,0.0,0.0
cat__project_monit,0.0,0.0
cat__project_cyrus-imapd,0.0,0.0
cat__project_mujs,0.0,0.0
cat__project_mvfst,0.0,0.0
cat__project_nagioscore,0.0,0.0
cat__project_nbdkit,0.0,0.0
cat__project_ncurses,0.0,0.0
cat__project_nettle,0.0,0.0
cat__project_newsbeuter,0.0,0.0
cat__project_nf,0.0,0.0
cat__project_curl,0.0,0.0
cat__project_ntp,0.0,0.0
cat__project_oniguruma,0.0,0.0
cat__project_open62541,0.0,0.0
cat__project_openldap,0.0,0.0
cat__project_cryptopp,0.0,0.0
cat__cwe_CWE-94,0.0,0.0
