name,strategy,known,accuracy,precision,recall,f1,yes_rate,tp,fp,tn,fn,methods,unknown
yes_only+old_rag+positive_weighted_rag,majority_tie_yes,868,0.519585,0.514803,0.71954,0.600192,0.700461,313,295,138,122,yes_only|old_rag|positive_weighted_rag,0
zero_shot+positive_weighted_rag+patch_contrast,majority,868,0.510369,0.508039,0.726437,0.597919,0.71659,316,306,127,119,zero_shot|positive_weighted_rag|patch_contrast,0
zero_shot+positive_weighted_rag+patch_contrast,majority_tie_yes,868,0.510369,0.508039,0.726437,0.597919,0.71659,316,306,127,119,zero_shot|positive_weighted_rag|patch_contrast,0
yes_only+author_no_yes+positive_weighted_rag+patch_contrast,majority,868,0.524194,0.518644,0.703448,0.597073,0.679724,306,284,149,129,yes_only|author_no_yes|positive_weighted_rag|patch_contrast,0
zero_shot+author_no_yes+old_rag+positive_weighted_rag,majority,868,0.523041,0.517766,0.703448,0.596491,0.680876,306,285,148,129,zero_shot|author_no_yes|old_rag|positive_weighted_rag,0
zero_shot+yes_only+old_rag+positive_weighted_rag,majority,868,0.520737,0.515966,0.705747,0.596117,0.685484,307,288,145,128,zero_shot|yes_only|old_rag|positive_weighted_rag,0
zero_shot+old_rag+positive_weighted_rag,majority,868,0.512673,0.509804,0.717241,0.595989,0.705069,312,300,133,123,zero_shot|old_rag|positive_weighted_rag,0
zero_shot+old_rag+positive_weighted_rag,majority_tie_yes,868,0.512673,0.509804,0.717241,0.595989,0.705069,312,300,133,123,zero_shot|old_rag|positive_weighted_rag,0
zero_shot+yes_only+positive_weighted_rag+patch_contrast,majority,868,0.516129,0.512479,0.708046,0.594595,0.692396,308,293,140,127,zero_shot|yes_only|positive_weighted_rag|patch_contrast,0
author_no_yes+old_rag+positive_weighted_rag,majority,868,0.514977,0.511628,0.708046,0.594021,0.693548,308,294,139,127,author_no_yes|old_rag|positive_weighted_rag,0
author_no_yes+old_rag+positive_weighted_rag,majority_tie_yes,868,0.514977,0.511628,0.708046,0.594021,0.693548,308,294,139,127,author_no_yes|old_rag|positive_weighted_rag,0
yes_only+author_no_yes+old_rag+positive_weighted_rag,majority,868,0.520737,0.516184,0.696552,0.592955,0.676267,303,284,149,132,yes_only|author_no_yes|old_rag|positive_weighted_rag,0
